id,name,address,rating,review_count,lat,lon,tit1,tit2,zipcodes
jciTR0LWF7KBrhfylJr5pA,Cafe Aroma,"1015 S Crocker St  Los Angeles, CA 90021",4.5,7,34.03396221,-118.25148659999999,Coffee & Tea, Cafes,90021
jcm06RNlG9ASCtAFxl16dA,Nachos Mexican Food,"9834 Flower St  Bellflower, CA 90706",4.0,91,33.88202772,-118.12434820000001,Mexican, Breakfast & Brunch,90706
JcmhRajcQwIGmkIaOtouBQ,Burgerlords - Highland Park,"110 N Ave 56  Los Angeles, CA 90042",4.0,137,34.1092684,-118.19458929999999,Burgers, Vegan,90042
jcN-mGrcwQCizDZvIkgVOg,Hornitos Mercado & Tortilleria,"7625 California Ave  Huntington Park, CA 90255",4.0,6,33.968078999999996,-118.2041646,Breakfast & Brunch, ,90255
Jco-1Z0wweTKjCKHoM1ZTw,Jumping 1 Ton,"4021 Maine Ave  Baldwin Park, CA 91706",5.0,383,34.08552155,-117.96041899999999,Asian Fusion, Sandwiches,91706
JCPiOe4N13TWWk1IEbDgkQ,Classic Thai Restaurant,"1708 Colorado Blvd  Los Angeles, CA 90041",3.5,262,34.13905334,-118.20405579999999,Thai, ,90041
JcT-TiVDSP820Akvm6Gf8Q,Janna's Cafe,"5455 Wilshire Blvd  Los Angeles, CA 90036",4.0,41,34.06268,-118.34753,Sandwiches, ,90036
jcUgGKhk1NbzNBED6e_tPg,Azay,"226 E 1st St  Los Angeles, CA 90012",4.5,89,34.05083047,-118.241825,Japanese, French,90012
jCxxkGEembQ9jpCoUW6nzg,NBC Seafood Restaurant,"404 S Atlantic Blvd  Monterey Park, CA 91754",3.5,1581,34.05866293,-118.1331888,Seafood, Dim Sum,91754
jczk4-0Avpkh6MlCEs0t1Q,Johnny Pacific,"20133 Saticoy St  Winnetka, CA 91306",4.5,1783,34.209713,-118.572096,Latin American, Caribbean,91306
jcZoYkhzswXisEDiCeXcwg,Panda Express - Temporarily Closed,"20700 Avalon Blvd  Carson, CA 90746",2.0,63,33.84346153,-118.2621301,Chinese, Fast Food,90746
Jd_1ZFglF0Kqqp0WGHyPeg,Jesse Boy,"6254 Santa Monica Blvd  Los Angeles, CA 90038",4.5,406,34.0905951,-118.32558610000001,Chicken Wings, Korean,90038
Jd0tEhLlHBj4JRNKiwB2gQ,St John's Health Center Cafeteria,"2121 Santa Monica Blvd  Fl 2  Santa Monica, CA 90404",2.5,10,34.029892,-118.4787216,Delis, Salad,90404
JD2lVdz_9LAxSKIJPi4fEw,Kim Kee Noodle Cafe,"441 W Garvey Ave  Monterey Park, CA 91754",4.0,342,34.06287003,-118.1284256,Chinese, Noodles,91754
jd2OB12hLOWTWghh1MrlbA,HomeTown Buffet,"6257 Atlantic Ave  Bell, CA 90201",2.0,119,33.980249799999996,-118.1874517,Buffets, Breakfast & Brunch,90201
jD5aleufUJF7jxy6dKkxMQ,El Pollo Loco,"503 S Alvarado St  Los Angeles, CA 90057",1.5,22,34.06057303,-118.2744822,Fast Food, Mexican,90057
JD6tyqraOsi5xF10J0KEwQ,Formosa Cafe,"7156 Santa Monica Blvd  West Hollywood, CA 90046",4.0,289,34.09030433,-118.34603829999999,Asian Fusion, Cocktail Bars,90046
jD8L0K-3ITfULnZ68BY0fg,Pollo Inka Express,"14146 Hawthorne Blvd  Hawthorne, CA 90250",3.0,490,33.9031105,-118.35230109999999,Peruvian, Fast Food,90250
jdDwyrqzXD9YXIjISxSfxg,Gardenia Restaurant and Lounge,"7066 Santa Monica Blvd  W Hollywood, CA 90038",3.0,63,34.0904,-118.34343,American (Traditional), Seafood,90038
JDeMCQbuMN2pHJuHhOiQhA,Olive Tree Restaurant,"518 S Brookhurst St  Ste 1  Anaheim, CA 92804",4.5,487,33.82560476,-117.9586585,Middle Eastern, Mediterranean,92804
jDHa8BN1fvMvnC05ZsqC_w,Wacky Wok,"8919 S Sepulveda Blvd  Los Angeles, CA 90045",3.5,490,33.9556467,-118.39655590000001,Chinese, ,90045
jDhj60LaSnihRapHUNkW_g,Stox Restaurant & Bakery,"9518 Imperial Hwy  Downey, CA 90242",3.5,307,33.9168854,-118.12458799999999,Bakeries, American (Traditional),90242
jDkDrZ5PF7CSolAIfaQUrg,Tacos La Morenita,"1250 N San Fernando Rd  Los Angeles, CA 90065",5.0,37,34.09539413,-118.2310104,Tacos, Food Stands,90065
JDM_sgf6G-yWRiMLSQmgmw,Hooters,"90 Aquarium Way  Long Beach, CA 90802",2.5,477,33.7630424,-118.19465559999999,Chicken Wings, Sports Bars,90802
jdnD3dMc8CPN90Road1E8A,Porky's Restaurant Mexican Food,"4560 Whittier Blvd  Los Angeles, CA 90022",3.5,36,34.0226995,-118.1688608,Mexican, ,90022
